Condition,StudentId,Session,Measure,Score
TP,1343,2_2,JaccardSimilarity,0.10483870967741936
TP,1343,2_2,CosineSimilarity,0.13360402684189276
NoTP,918,1_2,JaccardSimilarity,0.6190476190476191
NoTP,918,2_2,JaccardSimilarity,0.4772727272727273
NoTP,918,1_2,CosineSimilarity,0.5465012875149394
NoTP,918,2_2,CosineSimilarity,0.4078518984956912
TP,993,1_2,JaccardSimilarity,0.41935483870967744
TP,993,1_1,JaccardSimilarity,0.6206896551724138
TP,993,1_2,CosineSimilarity,0.303205171285192
TP,993,1_1,CosineSimilarity,0.4968419861594637
